Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,BounceRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor
0,0.0,0,0.0,2,0.0,0.0,0.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,2,0.05,0.0,0.0,2,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,19,0.015789474,0.0,0.0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,2,0.0,0.0,0.0,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,2,0.0,0.0,0.0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,3,0.0,0.0,0.0,2,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,64.6,0,0.0,32,0.002857143,0.0,0.0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,3,0.0,0.0,0.0,0,1,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,8,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,14,0.014285714,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,52,0.015384615,0.0,0.0,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,8,0.025,0.0,0.0,2,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,9.0,0,0.0,46,0.0,0.0,0.0,1,1,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,11,0.0,0.0,0.0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,4,0.0,0.0,0.0,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,14,0.0,0.0,0.0,1,1,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,6,0.0,0.0,0.0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,12,0.016666667,0.0,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,7,0.057142857,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,13,0.0,0.0,0.0,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0.0,0,0.0,16,0.004166667,0.0,0.0,2,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,20.0,0,0.0,16,0.0,0.0,0.0,1,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,6,0.0,0.0,0.0,2,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,3,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,4,0.0,0.0,0.0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,20,0.0075,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,21,0.033333333,0.0,0.0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,5,0.0,0.0,0.0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,17,0.0,0.0,0.0,2,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,9.0,0,0.0,50,0.0,0.0,0.0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,3,0.0,0.0,0.0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,112.9607843,0,0.0,13,0.013068182,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,3,0.0,0.0,0.0,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,119.0,0,0.0,12,0.0,0.0,0.0,2,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,40.0,0,0.0,5,0.0,0.0,0.0,1,1,6,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,107.0,0,0.0,4,0.0,0.0,0.0,2,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0.0,0,0.0,2,0.0,0.0,0.0,2,1,7,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,57.0,0,0.0,7,0.006666667,0.0,0.0,0,1,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,118.0,0,0.0,4,0.0,0.0,0.0,0,1,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,12,0.016666667,0.0,0.0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,54.0,0,0.0,6,0.0,0.0,0.0,1,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0.0,0,0.0,2,0.0,0.0,0.0,1,1,2,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,9,0.0,0.0,0.0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,19,0.010526316,0.0,0.0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,154.0,0,0.0,18,0.005263158,0.0,0.0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,118.5,0,0.0,29,0.006896552,0.0,0.0,2,1,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,9,0.0,0.0,0.0,2,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,16,0.0,0.0,0.0,1,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0.0,0,0.0,18,0.023529412,0.0,0.0,1,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,14,0.015384615,0.0,0.0,1,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,2,0.0,0.0,0.0,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,13.0,0,0.0,2,0.0,0.0,0.0,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,9,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,30,0.0,0.0,0.0,1,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,5,0.0,0.0,0.0,1,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,10.0,0,0.0,14,0.035714286,0.0,0.0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,18,0.016666667,0.0,0.0,3,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,5,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,32,0.014583333,0.0,0.0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,3,0.0,0.0,0.0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,6,0.0,0.0,0.0,1,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,8,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,35,0.011428571,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,11.0,0,0.0,51,0.010588235,0.0,0.0,2,1,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,20.0,0,0.0,7,0.0,0.0,0.0,1,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,40,0.0135,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,171.25,0,0.0,22,0.004545455,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,3,0.0,0.0,0.0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,15,0.0,0.0,0.0,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,35,0.012571429,0.0,0.0,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
